i,rP[i],T[i],Se[i],Sw[i],aE[i],aW[i],aP[i],bP[i]
0,0,0,0,0,0,0,0,0
1,2,500,6.29575,3.14159,0,0,1,500
2,2.008,493.604,6.33345,6.29575,237504,236091,473607,302.799
3,2.024,487.27,6.38372,6.33345,119695,118752,238459,305.212
4,2.04,481.033,6.43398,6.38372,120637,119695,240344,307.625
5,2.056,474.892,6.48425,6.43398,121580,120637,242229,310.037
6,2.072,468.843,6.53451,6.48425,122522,121580,244114,312.45
7,2.088,462.887,6.58478,6.53451,123465,122522,245999,314.863
8,2.104,457.021,6.63504,6.58478,124407,123465,247884,317.276
9,2.12,451.243,6.68531,6.63504,125350,124407,249769,319.688
10,2.136,445.552,6.73557,6.68531,126292,125350,251654,322.101
11,2.152,439.947,6.78584,6.73557,127235,126292,253540,324.514
12,2.168,434.425,6.83611,6.78584,128177,127235,255425,326.927
13,2.184,428.986,6.88637,6.83611,129119,128177,257310,329.339
14,2.2,423.628,6.93664,6.88637,130062,129119,259195,331.752
15,2.216,418.349,6.9869,6.93664,131004,130062,261080,334.165
16,2.232,413.149,7.03717,6.9869,131947,131004,262965,336.578
17,2.248,408.025,7.08743,7.03717,132889,131947,264850,338.99
18,2.264,402.976,7.1377,7.08743,133832,132889,266735,341.403
19,2.28,398.002,7.18796,7.1377,134774,133832,268620,343.816
20,2.296,393.1,7.23823,7.18796,135717,134774,270505,346.229
21,2.312,388.27,7.28849,7.23823,136659,135717,272390,348.641
22,2.328,383.511,7.33876,7.28849,137602,136659,274275,351.054
23,2.344,378.82,7.38903,7.33876,138544,137602,276160,353.467
24,2.36,374.198,7.43929,7.38903,139487,138544,278045,355.88
25,2.376,369.643,7.48956,7.43929,140429,139487,279930,358.292
26,2.392,365.153,7.53982,7.48956,141372,140429,281815,360.705
27,2.408,360.728,7.59009,7.53982,142314,141372,283700,363.118
28,2.424,356.366,7.64035,7.59009,143257,142314,285585,365.531
29,2.44,352.067,7.69062,7.64035,144199,143257,287470,367.943
30,2.456,347.83,7.74088,7.69062,145142,144199,289355,370.356
31,2.472,343.653,7.79115,7.74088,146084,145142,291241,372.769
32,2.488,339.535,7.84142,7.79115,147027,146084,293126,375.182
33,2.504,335.476,7.89168,7.84142,147969,147027,295011,377.594
34,2.52,331.475,7.94195,7.89168,148911,147969,296896,380.007
35,2.536,327.53,7.99221,7.94195,149854,148911,298781,382.42
36,2.552,323.641,8.04248,7.99221,150796,149854,300666,384.833
37,2.568,319.806,8.09274,8.04248,151739,150796,302551,387.245
38,2.584,316.026,8.14301,8.09274,152681,151739,304436,389.658
39,2.6,312.298,8.19327,8.14301,153624,152681,306321,392.071
40,2.616,308.623,8.24354,8.19327,154566,153624,308206,394.484
41,2.632,304.999,8.2938,8.24354,155509,154566,310091,396.896
42,2.648,301.426,8.34407,8.2938,156451,155509,311976,399.309
43,2.664,297.902,8.39434,8.34407,157394,156451,313861,401.722
44,2.68,294.427,8.4446,8.39434,158336,157394,315746,404.134
45,2.696,291.001,8.49487,8.4446,159279,158336,317631,406.547
46,2.712,287.622,8.54513,8.49487,160221,159279,319516,408.96
47,2.728,284.289,8.5954,8.54513,161164,160221,321401,411.373
48,2.744,281.003,8.64566,8.5954,162106,161164,323286,413.785
49,2.76,277.762,8.69593,8.64566,163049,162106,325171,416.198
50,2.776,274.565,8.74619,8.69593,163991,163049,327057,418.611
51,2.792,271.413,8.79646,8.74619,164934,163991,328942,421.024
52,2.808,268.303,8.84672,8.79646,165876,164934,330827,423.436
53,2.824,265.236,8.89699,8.84672,166819,165876,332712,425.849
54,2.84,262.211,8.94726,8.89699,167761,166819,334597,428.262
55,2.856,259.227,8.99752,8.94726,168704,167761,336482,430.675
56,2.872,256.283,9.04779,8.99752,169646,168704,338367,433.087
57,2.888,253.38,9.09805,9.04779,170588,169646,340252,435.5
58,2.904,250.516,9.14832,9.09805,171531,170588,342137,437.913
59,2.92,247.691,9.19858,9.14832,172473,171531,344022,440.326
60,2.936,244.904,9.24885,9.19858,173416,172473,345907,442.738
61,2.952,242.154,9.29911,9.24885,174358,173416,347792,445.151
62,2.968,239.442,9.34938,9.29911,175301,174358,349677,447.564
63,2.984,236.766,9.39965,9.34938,176243,175301,351562,449.977
64,3,234.126,9.44991,9.39965,177186,176243,353447,452.389
65,3.016,231.521,9.50018,9.44991,178128,177186,355332,454.802
66,3.032,228.951,9.55044,9.50018,179071,178128,357217,457.215
67,3.048,226.416,9.60071,9.55044,180013,179071,359102,459.628
68,3.064,223.914,9.65097,9.60071,180956,180013,360987,462.04
69,3.08,221.446,9.70124,9.65097,181898,180956,362873,464.453
70,3.096,219.011,9.7515,9.70124,182841,181898,364758,466.866
71,3.112,216.608,9.80177,9.7515,183783,182841,366643,469.279
72,3.128,214.236,9.85203,9.80177,184726,183783,368528,471.691
73,3.144,211.897,9.9023,9.85203,185668,184726,370413,474.104
74,3.16,209.588,9.95257,9.9023,186611,185668,372298,476.517
75,3.176,207.31,10.0028,9.95257,187553,186611,374183,478.93
76,3.192,205.062,10.0531,10.0028,188496,187553,376068,481.342
77,3.208,202.843,10.1034,10.0531,189438,188496,377953,483.755
78,3.224,200.654,10.1536,10.1034,190381,189438,379838,486.168
79,3.24,198.493,10.2039,10.1536,191323,190381,381723,488.58
80,3.256,196.361,10.2542,10.2039,192265,191323,383608,490.993
81,3.272,194.257,10.3044,10.2542,193208,192265,385493,493.406
82,3.288,192.18,10.3547,10.3044,194150,193208,387378,495.819
83,3.304,190.131,10.405,10.3547,195093,194150,389263,498.231
84,3.32,188.108,10.4552,10.405,196035,195093,391148,500.644
85,3.336,186.112,10.5055,10.4552,196978,196035,393033,503.057
86,3.352,184.142,10.5558,10.5055,197920,196978,394918,505.47
87,3.368,182.197,10.606,10.5558,198863,197920,396803,507.882
88,3.384,180.277,10.6563,10.606,199805,198863,398689,510.295
89,3.4,178.383,10.7065,10.6563,200748,199805,400574,512.708
90,3.416,176.513,10.7568,10.7065,201690,200748,402459,515.121
