i,rP[i],T[i],Se[i],Sw[i],aE[i],aW[i],aP[i],bP[i],P[i],R[i]
0,0,0,0,0,0,0,0,0,0,0
1,2,500,6.28947,3.14159,0,0,1,500,0,500
2,2.004,496.782,6.30832,6.28947,473124,471710,944840,151.098,0.500745,249.624
3,2.012,493.58,6.33345,6.30832,237504,236562,474072,151.701,0.667869,166.055
4,2.02,490.402,6.35858,6.33345,238447,237504,475957,152.304,0.751403,124.282
5,2.028,487.249,6.38372,6.35858,239389,238447,477842,152.908,0.801511,99.2215
6,2.036,484.12,6.40885,6.38372,240332,239389,479727,153.511,0.834908,82.5165
7,2.044,481.015,6.43398,6.40885,241274,240332,481612,154.114,0.858758,70.5855
8,2.052,477.934,6.45911,6.43398,242217,241274,483497,154.717,0.876641,61.6379
9,2.06,474.877,6.48425,6.45911,243159,242217,485382,155.32,0.890546,54.6792
10,2.068,471.842,6.50938,6.48425,244102,243159,487267,155.924,0.901667,49.1127
11,2.076,468.831,6.53451,6.50938,245044,244102,489152,156.527,0.910763,44.5585
12,2.084,465.843,6.55965,6.53451,245987,245044,491037,157.13,0.918341,40.7637
13,2.092,462.878,6.58478,6.55965,246929,245987,492922,157.733,0.92475,37.553
14,2.1,459.935,6.60991,6.58478,247872,246929,494807,158.336,0.930242,34.8011
15,2.108,457.014,6.63504,6.60991,248814,247872,496692,158.939,0.934999,32.4164
16,2.116,454.115,6.66018,6.63504,249757,248814,498577,159.543,0.93916,30.3299
17,2.124,451.239,6.68531,6.66018,250699,249757,500462,160.146,0.94283,28.489
18,2.132,448.384,6.71044,6.68531,251642,250699,502347,160.749,0.94609,26.8528
19,2.14,445.55,6.73557,6.71044,252584,251642,504232,161.352,0.949006,25.389
20,2.148,442.738,6.76071,6.73557,253527,252584,506117,161.955,0.951629,24.0717
21,2.156,439.947,6.78584,6.76071,254469,253527,508002,162.559,0.954,22.88
22,2.164,437.177,6.81097,6.78584,255411,254469,509887,163.162,0.956155,21.7967
23,2.172,434.428,6.83611,6.81097,256354,255411,511772,163.765,0.958121,20.8077
24,2.18,431.699,6.86124,6.83611,257296,256354,513657,164.368,0.959922,19.9013
25,2.188,428.991,6.88637,6.86124,258239,257296,515542,164.971,0.961578,19.0674
26,2.196,426.303,6.9115,6.88637,259181,258239,517427,165.574,0.963106,18.2977
27,2.204,423.635,6.93664,6.9115,260124,259181,519312,166.178,0.964519,17.5852
28,2.212,420.987,6.96177,6.93664,261066,260124,521197,166.781,0.965831,16.9236
29,2.22,418.358,6.9869,6.96177,262009,261066,523082,167.384,0.967051,16.3077
30,2.228,415.749,7.01203,6.9869,262951,262009,524967,167.987,0.968188,15.733
31,2.236,413.159,7.03717,7.01203,263894,262951,526852,168.59,0.969252,15.1954
32,2.244,410.589,7.0623,7.03717,264836,263894,528737,169.194,0.970248,14.6915
33,2.252,408.037,7.08743,7.0623,265779,264836,530622,169.797,0.971183,14.2181
34,2.26,405.504,7.11257,7.08743,266721,265779,532507,170.4,0.972062,13.7727
35,2.268,402.99,7.1377,7.11257,267664,266721,534392,171.003,0.97289,13.3527
36,2.276,400.495,7.16283,7.1377,268606,267664,536277,171.606,0.973672,12.9562
37,2.284,398.018,7.18796,7.16283,269549,268606,538162,172.21,0.97441,12.5811
38,2.292,395.559,7.2131,7.18796,270491,269549,540047,172.813,0.975109,12.2259
39,2.3,393.118,7.23823,7.2131,271434,270491,541932,173.416,0.975772,11.8889
40,2.308,390.695,7.26336,7.23823,272376,271434,543817,174.019,0.976401,11.5687
41,2.316,388.289,7.28849,7.26336,273319,272376,545702,174.622,0.976998,11.2643
42,2.324,385.902,7.31363,7.28849,274261,273319,547587,175.225,0.977566,10.9744
43,2.332,383.531,7.33876,7.31363,275204,274261,549472,175.829,0.978108,10.698
