i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i]
0,0,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,200,15000000,1.5848191492551,18.1846395481194,1049.90309440259,630.396754127816,210.488772722918
1,0.00125,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,200.542604006434,14999999.771595,1.58911881955191,18.1354374660842,1050.22652269375,630.413670807401,210.515342039154
2,0.0025,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,201.083744336127,14999999.5432198,1.5934068916615,18.0866325663436,1050.54878244267,630.446348680597,210.567084870769
3,0.00375,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,201.623483287754,14999999.3148609,1.59768385924545,18.0382150144346,1050.86991029908,630.493710922261,210.642678220472
4,0.005,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,202.16187964332,14999999.0865055,1.60195018809887,17.9901754700394,1051.18994079874,630.554754023787,210.740868050778
5,0.00625,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,202.698988873812,14999998.8581417,1.60620631777998,17.9425050562582,1051.50890648938,630.628542812057,210.860465648407
6,0.0075,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,203.234863332525,14999998.6297581,1.61045266314212,17.8951953309403,1051.82683804837,630.714205806825,211.000344185043
7,0.00875,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,203.769552436822,14999998.4013441,1.61468961577395,17.8482382599256,1052.14376439473,630.810930893457,211.159435463418
8,0.01,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,204.303102839034,14999998.1728896,1.61891754535375,17.801626192064,1052.45971279279,630.917961289533,211.336726838309
9,0.01125,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,204.835558587166,14999997.944385,1.62313680092282,17.7553518358873,1052.77470895078,631.034591785311,211.53125830267
10,0.0125,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,205.366961276043,14999997.7158214,1.6273477120832,17.7094082378184,1053.08877711301,631.160165239392,211.742119729702
11,0.01375,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,205.897350189466,14999997.4871904,1.63155059012415,17.6637887618111,1053.40194014639,631.294069312238,211.968448262206
12,0.015,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,206.426762433938,14999997.2584839,1.63574572908175,17.618487070322,1053.71421962225,631.435733421379,212.209425841066
13,0.01625,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,206.955233064466,14999997.0296944,1.63993340673582,17.5734971065224,1054.02563589305,631.584625903225,212.464276865195
14,0.0175,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,207.482795202924,14999996.8008148,1.64411388554783,17.5288130776649,1054.3362081638,631.740251367464,212.732265975719
15,0.01875,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,208.009480149427,14999996.5718384,1.64828741354343,17.4844294395274,1054.64595456086,631.902148230962,213.012695957597
16,0.02,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,208.535317487136,14999996.3427588,1.65245422514294,17.4403408818592,1054.95489219468,632.069886418984,213.30490575225
17,0.02125,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,209.060335180898,14999996.11357,1.65661454194298,17.3965423147621,1055.26303722057,632.243065222374,213.608268575175
18,0.0225,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,209.584559670086,14999995.8842665,1.66076857345214,17.3530288559447,1055.57040489453,632.421311300131,213.922190132828
19,0.02375,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,210.108015955985,14999995.6548427,1.66491651778348,17.309795818789,1055.87700962626,632.604276817495,214.246106933403
20,0.025,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,210.63072768407,14999995.4252938,1.66905856230642,17.2668387011758,1056.18286502961,632.791637710375,214.579484686449
