i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i],Temps execucio (s)
0,0,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,400,15000000,3.1696382985102,9.09231977405971,1145.13667540447,735.716723580297,406.99793356332,0.108933001756668
1,0.000244140625,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,400.084523513392,14999999.9374945,3.17030808413391,9.09039885504829,1145.16823874044,735.717386843614,406.998825209971,0.108933001756668
2,0.00048828125,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,400.169003112943,14999999.874989,3.17097752178571,9.08847974486173,1145.19978055526,735.718703911922,407.000598525512,0.108933001756668
3,0.000732421875,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,400.253439247026,14999999.8124836,3.17164661501855,9.08656243154399,1145.23130102389,735.720665461034,407.003243643368,0.108933001756668
4,0.0009765625,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,400.337832358538,14999999.749978,3.17231536734203,9.08464690328314,1145.26280032456,735.723262299003,407.006750806904,0.108933001756668
5,0.001220703125,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,400.422182884968,14999999.6874722,3.17298378222284,9.08273314840953,1145.29427862871,735.726485364249,407.011110368185,0.108933001756668
6,0.00146484375,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,400.506491258464,14999999.624966,3.1736518630854,9.08082115539391,1145.32573610897,735.730325723713,407.016312786763,0.108933001756668
7,0.001708984375,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,400.5907579059,14999999.5624595,3.17431961331231,9.07891091284568,1145.35717293317,735.734774571031,407.022348628469,0.108933001756668
8,0.001953125,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,400.674983248941,14999999.4999525,3.1749870362449,9.07700240951104,1145.38858926957,735.739823224745,407.02920856422,0.108933001756668
9,0.002197265625,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,400.759167704106,14999999.4374449,3.17565413518372,9.07509563427127,1145.41998528122,735.745463126531,407.036883368842,0.108933001756668
10,0.00244140625,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,400.843311682836,14999999.3749366,3.17632091338908,9.07319057614096,1145.45136113291,735.751685839452,407.045363919904,0.108933001756668
11,0.002685546875,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,400.927415591554,14999999.3124275,3.17698737408153,9.07128722426634,1145.4827169854,735.758483046242,407.054641196568,0.108933001756668
12,0.0029296875,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,401.011479831726,14999999.2499176,3.17765352044235,9.06938556792353,1145.51405299793,735.765846547608,407.064706278448,0.108933001756668
13,0.003173828125,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,401.095504799927,14999999.1874068,3.17831935561404,9.06748559651692,1145.54536932598,735.773768260562,407.075550344486,0.108933001756668
14,0.00341796875,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,401.179490887897,14999999.1248949,3.17898488270081,9.06558729957749,1145.57666612761,735.782240216768,407.087164671838,0.108933001756668
15,0.003662109375,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,401.263438482603,14999999.062382,3.17965010476903,9.06369066676117,1145.60794355401,735.791254560921,407.099540634774,0.108933001756668
16,0.00390625,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,401.3473479663,14999998.9998678,3.18031502484774,9.0617956878473,1145.63920175757,735.800803549148,407.112669703592,0.108933001756668
17,0.004150390625,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,401.431219716585,14999998.9373524,3.18097964592908,9.05990235273697,1145.67044088787,735.810879547423,407.126543443538,0.108933001756668
18,0.00439453125,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,401.515054106459,14999998.8748356,3.18164397096874,9.05801065145148,1145.70166109322,735.821475030018,407.141153513747,0.108933001756668
19,0.004638671875,1327.9690355137,111916.8239695,111501.88317674,414.940792760261,401.598851504381,14999998.8123174,3.18230800288645,9.05612057413084,1145.73286251907,735.832582577964,407.15649166619,0.108933001756668
