i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i],Temps execucio (s)
0,0,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,200,15000000,0.396204787313775,18.1846395481194,301.467869168395,560.641926511826,213.910019896917,0.172012001276016
1,0.00048828125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,200.10385144757,14999999.9971203,0.396410519593361,18.1752019394719,301.485678330494,560.642038540677,213.91076975372,0.172012001276016
2,0.0009765625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,200.207637889534,14999999.9942407,0.396616123095362,18.1657800200119,301.503473079933,560.642262904972,213.912263352196,0.172012001276016
3,0.00146484375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,200.311359656631,14999999.9913613,0.396821598474978,18.1563737262014,301.521253475461,560.642599910545,213.914494626302,0.172012001276016
4,0.001953125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,200.415017077379,14999999.9884819,0.397026946383013,18.146982994927,301.539019575345,560.643049862476,213.917457558684,0.172012001276016
5,0.00244140625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,200.518610478097,14999999.9856027,0.397232167465911,18.1376077634967,301.556771437418,560.643613065082,213.921146180281,0.172012001276016
6,0.0029296875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,200.622140182919,14999999.9827236,0.397437262365791,18.1282479696359,301.574509119378,560.644289821923,213.925554569942,0.172012001276016
7,0.00341796875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,200.725606513815,14999999.9798446,0.397642231720482,18.1189035514841,301.592232678411,560.645080435797,213.93067685403,0.172012001276016
8,0.00390625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,200.829009790608,14999999.9769657,0.39784707616356,18.1095744475908,301.609942171129,560.645985208741,213.936507206047,0.172012001276016
9,0.00439453125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,200.932350330987,14999999.9740869,0.398051796324378,18.1002605969123,301.627637654009,560.64700444203,213.943039846249,0.172012001276016
10,0.0048828125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,201.035628450532,14999999.9712082,0.398256392828105,18.0909619388082,301.645319183101,560.648138436174,213.950269041269,0.172012001276016
11,0.00537109375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,201.138844462726,14999999.9683296,0.398460866295758,18.0816784130377,301.662986813946,560.649387490922,213.958189103744,0.172012001276016
12,0.005859375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,201.241998678972,14999999.9654511,0.398665217344236,18.0724099597561,301.680640601995,560.650751905254,213.966794391946,0.172012001276016
13,0.00634765625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,201.345091408613,14999999.9625726,0.398869446586353,18.0631565195117,301.698280602004,560.652231977387,213.97607930941,0.172012001276016
14,0.0068359375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,201.448122958946,14999999.9596943,0.399073554630872,18.0539180332421,301.71590686846,560.653828004772,213.986038304572,0.172012001276016
15,0.00732421875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,201.55109363524,14999999.956816,0.399277542082538,18.0446944422708,301.733519455758,560.655540284089,213.996665870407,0.172012001276016
16,0.0078125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,201.654003740751,14999999.9539378,0.399481409542111,18.0354856883042,301.751118417562,560.657369111251,214.007956544067,0.172012001276016
17,0.00830078125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,201.756853576742,14999999.9510597,0.399685157606395,18.026291713428,301.768703807374,560.659314781403,214.019904906533,0.172012001276016
18,0.0087890625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,201.859643442493,14999999.9481816,0.399888786868278,18.017112460104,301.78627567838,560.661377588917,214.032505582253,0.172012001276016
19,0.00927734375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,201.962373635325,14999999.9453036,0.400092297916753,18.007947871167,301.803834083224,560.663557827397,214.045753238798,0.172012001276016
20,0.009765625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,202.065044450607,14999999.9424256,0.400295691336959,17.9987978898215,301.821379074393,560.665855789671,214.059642586514,0.172012001276016
21,0.01025390625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,202.167656181781,14999999.9395477,0.400498967710208,17.9896624596385,301.83891070391,560.668271767796,214.074168378174,0.172012001276016
22,0.0107421875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,202.270209120371,14999999.9366698,0.400702127614016,17.9805415245524,301.856429023485,560.670806053056,214.089325408644,0.172012001276016
23,0.01123046875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,202.372703556001,14999999.933792,0.400905171622137,17.9714350288578,301.873934084689,560.673458935959,214.105108514537,0.172012001276016
24,0.01171875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,202.475139776411,14999999.9309142,0.401108100304589,17.9623429172066,301.891425938319,560.676230706237,214.121512573882,0.172012001276016
25,0.01220703125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,202.57751806747,14999999.9280365,0.401310914227687,17.9532651346048,301.908904635369,560.679121652846,214.138532505791,0.172012001276016
26,0.0126953125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,202.679838713194,14999999.9251588,0.401513613954072,17.9442016264097,301.926370225882,560.682132063964,214.156163270125,0.172012001276016
27,0.01318359375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,202.782101995759,14999999.9222811,0.401716200042745,17.9351523383266,301.943822760399,560.68526222699,214.174399867171,0.172012001276016
28,0.013671875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,202.884308195518,14999999.9194035,0.401918673049088,17.926117216406,301.961262288236,560.688512428545,214.193237337314,0.172012001276016
29,0.01416015625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,202.986457591014,14999999.9165259,0.402121033524903,17.9170962070407,301.978688859018,560.691882954469,214.212670760719,0.172012001276016
30,0.0146484375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,203.088550458995,14999999.9136483,0.402323282018433,17.9080892569628,301.996102521787,560.695374089821,214.232695257007,0.172012001276016
31,0.01513671875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,203.190587074429,14999999.9107707,0.402525419074397,17.899096313241,302.013503325288,560.698986118879,214.25330598494,0.172012001276016
32,0.015625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,203.292567710517,14999999.9078931,0.402727445234014,17.8901173232775,302.030891318064,560.702719325135,214.274498142108,0.172012001276016
33,0.01611328125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,203.394492638711,14999999.9050155,0.402929361035036,17.8811522348053,302.048266548199,560.706573991301,214.296266964617,0.172012001276016
34,0.0166015625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,203.496362128723,14999999.902138,0.40313116701177,17.8722009958857,302.065629063668,560.710550399301,214.318607726777,0.172012001276016
35,0.01708984375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,203.598176448545,14999999.8992604,0.403332863695113,17.8632635549048,302.082978911834,560.714648830275,214.341515740802,0.172012001276016
36,0.017578125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,203.699935864458,14999999.8963829,0.403534451612575,17.8543398605716,302.100316139886,560.718869564576,214.364986356499,0.172012001276016
37,0.01806640625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,203.801640641047,14999999.8935053,0.403735931288305,17.8454298619148,302.117640795105,560.72321288177,214.389014960971,0.172012001276016
38,0.0185546875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,203.903291041218,14999999.8906277,0.403937303243125,17.8365335082801,302.134952923796,560.727679060634,214.413596978317,0.172012001276016
39,0.01904296875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,204.004887326207,14999999.8877502,0.404138567994551,17.8276507493278,302.15225257235,560.732268379156,214.438727869335,0.172012001276016
40,0.01953125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,204.106429755596,14999999.8848726,0.404339726056821,17.8187815350298,302.169539786827,560.736981114534,214.464403131227,0.172012001276016
41,0.02001953125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,204.207918587326,14999999.8819949,0.404540777940924,17.8099258156676,302.186814613057,560.741817543173,214.490618297311,0.172012001276016
42,0.0205078125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,204.309354077712,14999999.8791173,0.404741724154624,17.8010835418289,302.204077096456,560.74677794069,214.517368936727,0.172012001276016
43,0.02099609375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,204.410736481452,14999999.8762396,0.404942565202484,17.7922546644057,302.221327282159,560.751862581905,214.544650654153,0.172012001276016
44,0.021484375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,204.512066051645,14999999.873362,0.4051433015859,17.7834391345915,302.238565214932,560.757071740846,214.572459089521,0.172012001276016
45,0.02197265625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,204.6133430398,14999999.8704842,0.405343933803116,17.7746369038789,302.255790939662,560.762405690747,214.600789917734,0.172012001276016
46,0.0224609375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,204.714567695851,14999999.8676065,0.40554446234926,17.7658479240568,302.273004500484,560.767864704044,214.629638848382,0.172012001276016
47,0.02294921875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,204.815740268169,14999999.8647287,0.405744887716359,17.7570721472083,302.290205941396,560.773449052379,214.659001625473,0.172012001276016
48,0.0234375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,204.916861003576,14999999.8618509,0.405945210393373,17.7483095257082,302.307395306295,560.779159006595,214.688874027149,0.172012001276016
49,0.02392578125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,205.017930147356,14999999.858973,0.406145430866215,17.7395600122203,302.324572638573,560.784994836737,214.71925186542,0.172012001276016
50,0.0244140625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,205.118947943266,14999999.8560951,0.406345549617777,17.7308235596955,302.341737981522,560.790956812051,214.750130985887,0.172012001276016
51,0.02490234375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,205.219914633553,14999999.8532171,0.406545567127953,17.722100121369,302.358891378045,560.797045200983,214.781507267479,0.172012001276016
52,0.025390625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,205.320830458963,14999999.8503391,0.406745483873665,17.7133896507579,302.376032870862,560.803260271177,214.813376622183,0.172012001276016
53,0.02587890625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,205.421695658752,14999999.847461,0.406945300328889,17.7046921016594,302.393162502305,560.809602289476,214.845734994778,0.172012001276016
54,0.0263671875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,205.522510470701,14999999.8445828,0.407145016964673,17.696007428148,302.41028031468,560.816071521919,214.878578362581,0.172012001276016
55,0.02685546875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,205.623275131127,14999999.8417046,0.407344634249167,17.6873355845734,302.427386349754,560.822668233742,214.911902735176,0.172012001276016
56,0.02734375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,205.723989874893,14999999.8388264,0.40754415264764,17.6786765255581,302.444480649266,560.829392689375,214.945704154165,0.172012001276016
57,0.02783203125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,205.824654935423,14999999.835948,0.407743572622511,17.6700302059955,302.461563254442,560.836245152446,214.979978692909,0.172012001276016
58,0.0283203125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,205.925270544712,14999999.8330696,0.407942894633366,17.6613965810474,302.478634206521,560.843225885773,215.014722456273,0.172012001276016
59,0.02880859375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,206.025836933335,14999999.8301911,0.408142119136982,17.6527756061417,302.495693546437,560.850335151366,215.049931580377,0.172012001276016
60,0.029296875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,206.126354330464,14999999.8273126,0.408341246587352,17.6441672369707,302.512741314674,560.85757321043,215.085602232346,0.172012001276016
61,0.02978515625,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,206.226822963873,14999999.8244339,0.408540277435705,17.6355714294882,302.529777551581,560.864940323359,215.121730610059,0.172012001276016
62,0.0302734375,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,206.327243059957,14999999.8215552,0.408739212130531,17.6269881399082,302.546802297577,560.872436749736,215.158312941909,0.172012001276016
63,0.03076171875,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,206.427614843735,14999999.8186764,0.408938051117601,17.6184173247022,302.563815592177,560.880062748334,215.195345486557,0.172012001276016
64,0.03125,1327.93409272576,135911.433941906,135944.223677298,-32.7897353922809,206.527938538867,14999999.8157975,0.409136794839988,17.6098589405974,302.580817475172,560.887818577115,215.232824532689,0.172012001276016
