i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i],Temps execucio (s)
0,0,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,200,15000000,1.5848191492551,18.1846395481194,1049.78055273915,736.377538434793,212.911091137371,0.105963997542858
1,0.000244140625,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,200.132175162136,14999999.9494295,1.58586652324168,18.1726296354698,1049.85948045906,736.378308948247,212.912380736001,0.105963997542858
2,0.00048828125,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,200.264277738129,14999999.898861,1.58691332205556,18.1606421583448,1049.93834643522,736.379839391385,212.914946412624,0.105963997542858
3,0.000732421875,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,200.396308339685,14999999.8482945,1.58795955054396,18.1486770039508,1050.01715103322,736.382119325949,212.918774787536,0.105963997542858
4,0.0009765625,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,200.528267571645,14999999.7977298,1.5890052134997,18.1367340606065,1050.09589461267,736.385138457197,212.923852620478,0.105963997542858
5,0.001220703125,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,200.660156032061,14999999.7471667,1.59005031566181,18.124813217729,1050.17457753181,736.388886631933,212.930166809149,0.105963997542858
6,0.00146484375,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,200.791974312281,14999999.6966053,1.59109486171619,18.1129143658198,1050.25320014258,736.393353836566,212.937704387755,0.105963997542858
7,0.001708984375,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,200.923722997023,14999999.6460452,1.59213885629622,18.1010373964514,1050.3317627933,736.398530195196,212.946452525559,0.105963997542858
8,0.001953125,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,201.055402664456,14999999.5954865,1.59318230398337,18.0891822022535,1050.4102658296,736.404405967722,212.956398525453,0.105963997542858
9,0.002197265625,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,201.187013886274,14999999.5449289,1.59422520930781,18.0773486769,1050.48870959118,736.410971547984,212.967529822543,0.105963997542858
10,0.00244140625,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,201.318557227775,14999999.4943724,1.59526757674902,18.0655367150958,1050.5670944153,736.418217461919,212.979833982755,0.105963997542858
11,0.002685546875,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,201.450033247931,14999999.4438169,1.59630941073634,18.0537462125638,1050.64542063476,736.426134365756,212.993298701447,0.105963997542858
12,0.0029296875,1606.43795200103,166187.281471175,166145.792243538,41.4892276361997,201.581442499466,14999999.3932621,1.59735071564964,18.0419770660324,1050.72368857822,736.434713044221,213.007911802046,0.105963997542858
