i,x1[i],T1[i],P1[i],v1[i],rho1[i],alfa1[i],T3[i],P3[i],v3[i],rho3[i],alfa3[i]
0,0,1000,1.61e+07,6.67808,26.2157,4488.3,100,1.5e+07,1.76438,36.0817,1968.51
1,0.001,999.896,1.61e+07,6.67739,26.2184,4488.28,103.042,1.5e+07,1.81806,35.0164,1988.28
2,0.002,999.792,1.61e+07,6.67669,26.2211,4488.25,106.083,1.5e+07,1.87171,34.0127,2007.6
3,0.003,999.687,1.61e+07,6.676,26.2239,4488.23,109.121,1.5e+07,1.92532,33.0657,2026.48
4,0.004,999.583,1.61e+07,6.6753,26.2266,4488.21,112.156,1.5e+07,1.97886,32.171,2044.94
5,0.005,999.479,1.61e+07,6.67461,26.2293,4488.18,115.187,1.5e+07,2.03234,31.3245,2062.98
6,0.006,999.375,1.61e+07,6.67391,26.2321,4488.16,118.213,1.5e+07,2.08573,30.5227,2080.64
7,0.007,999.271,1.61e+07,6.67322,26.2348,4488.14,121.233,1.5e+07,2.13903,29.7621,2097.91
8,0.008,999.168,1.61e+07,6.67253,26.2375,4488.11,124.248,1.5e+07,2.19222,29.0399,2114.81
9,0.009,999.064,1.61e+07,6.67183,26.2402,4488.09,127.257,1.5e+07,2.24531,28.3533,2131.36
10,0.01,998.96,1.61e+07,6.67114,26.243,4488.06,130.259,1.5e+07,2.29827,27.6999,2147.56
11,0.011,998.856,1.61e+07,6.67045,26.2457,4488.04,133.254,1.5e+07,2.35111,27.0774,2163.42
12,0.012,998.753,1.61e+07,6.66975,26.2484,4488.02,136.24,1.5e+07,2.40381,26.4838,2178.96
13,0.013,998.649,1.61e+07,6.66906,26.2511,4487.99,139.219,1.5e+07,2.45636,25.9172,2194.19
14,0.014,998.545,1.61e+07,6.66837,26.2539,4487.97,142.189,1.5e+07,2.50877,25.3758,2209.1
15,0.015,998.442,1.61e+07,6.66768,26.2566,4487.95,145.15,1.49999e+07,2.56102,24.858,2223.72
16,0.016,998.338,1.61e+07,6.66699,26.2593,4487.92,148.103,1.49999e+07,2.61311,24.3625,2238.05
17,0.017,998.235,1.61e+07,6.6663,26.262,4487.9,151.045,1.49999e+07,2.66503,23.8879,2252.1
18,0.018,998.132,1.61e+07,6.66561,26.2647,4487.88,153.978,1.49999e+07,2.71678,23.4329,2265.88
19,0.019,998.028,1.61e+07,6.66492,26.2675,4487.85,156.901,1.49999e+07,2.76835,22.9964,2279.39
20,0.02,997.925,1.61e+07,6.66423,26.2702,4487.83,159.813,1.49999e+07,2.81974,22.5773,2292.64
21,0.021,997.822,1.61e+07,6.66354,26.2729,4487.8,162.715,1.49999e+07,2.87094,22.1746,2305.64
22,0.022,997.719,1.61e+07,6.66285,26.2756,4487.78,165.607,1.49999e+07,2.92195,21.7875,2318.4
23,0.023,997.616,1.61e+07,6.66216,26.2783,4487.76,168.487,1.49999e+07,2.97277,21.415,2330.92
24,0.024,997.513,1.61e+07,6.66148,26.281,4487.73,171.356,1.49999e+07,3.02339,21.0565,2343.2
25,0.025,997.41,1.61e+07,6.66079,26.2837,4487.71,174.214,1.49999e+07,3.07382,20.711,2355.26
26,0.026,997.307,1.61e+07,6.6601,26.2865,4487.69,177.06,1.49999e+07,3.12404,20.3781,2367.1
27,0.027,997.204,1.61e+07,6.65941,26.2892,4487.66,179.895,1.49999e+07,3.17405,20.057,2378.72
28,0.028,997.101,1.61e+07,6.65873,26.2919,4487.64,182.718,1.49999e+07,3.22386,19.7471,2390.13
29,0.029,996.998,1.61e+07,6.65804,26.2946,4487.61,185.529,1.49999e+07,3.27346,19.4479,2401.34
30,0.03,996.895,1.61e+07,6.65735,26.2973,4487.59,188.327,1.49999e+07,3.32284,19.1589,2412.35
31,0.031,996.793,1.61e+07,6.65667,26.3,4487.57,191.114,1.49999e+07,3.37201,18.8795,2423.16
32,0.032,996.69,1.61e+07,6.65598,26.3027,4487.54,193.889,1.49999e+07,3.42096,18.6094,2433.79
33,0.033,996.587,1.61e+07,6.6553,26.3054,4487.52,196.651,1.49999e+07,3.4697,18.348,2444.22
34,0.034,996.485,1.61e+07,6.65461,26.3081,4487.5,199.4,1.49999e+07,3.51821,18.095,2454.48
35,0.035,996.382,1.61e+07,6.65393,26.3108,4487.47,202.137,1.49999e+07,3.5665,17.85,2464.55
36,0.036,996.28,1.61e+07,6.65325,26.3135,4487.45,204.862,1.49999e+07,3.61457,17.6126,2474.46
37,0.037,996.178,1.61e+07,6.65256,26.3162,4487.42,207.573,1.49999e+07,3.66242,17.3825,2484.19
38,0.038,996.075,1.61e+07,6.65188,26.3189,4487.4,210.272,1.49999e+07,3.71004,17.1594,2493.76
39,0.039,995.973,1.61e+07,6.6512,26.3216,4487.38,212.958,1.49999e+07,3.75744,16.9429,2503.17
40,0.04,995.871,1.61e+07,6.65051,26.3243,4487.35,215.632,1.49999e+07,3.8046,16.7329,2512.42
41,0.041,995.768,1.61e+07,6.64983,26.327,4487.33,218.292,1.49999e+07,3.85154,16.529,2521.51
42,0.042,995.666,1.61e+07,6.64915,26.3297,4487.31,220.939,1.49999e+07,3.89825,16.3309,2530.45
43,0.043,995.564,1.61e+07,6.64847,26.3324,4487.28,223.574,1.49999e+07,3.94473,16.1385,2539.25
44,0.044,995.462,1.61e+07,6.64779,26.3351,4487.26,226.195,1.49999e+07,3.99099,15.9514,2547.89
45,0.045,995.36,1.61e+07,6.64711,26.3378,4487.23,228.803,1.49998e+07,4.03701,15.7696,2556.4
46,0.046,995.258,1.61e+07,6.64642,26.3405,4487.21,231.398,1.49998e+07,4.08279,15.5927,2564.77
47,0.047,995.156,1.61e+07,6.64574,26.3432,4487.19,233.98,1.49998e+07,4.12835,15.4207,2573
48,0.048,995.055,1.61e+07,6.64506,26.3459,4487.16,236.549,1.49998e+07,4.17368,15.2532,2581.1
49,0.049,994.953,1.61e+07,6.64439,26.3486,4487.14,239.105,1.49998e+07,4.21877,15.0902,2589.07
50,0.05,994.851,1.61e+07,6.64371,26.3513,4487.11,241.647,1.49998e+07,4.26363,14.9314,2596.91
51,0.051,994.749,1.61e+07,6.64303,26.354,4487.09,244.176,1.49998e+07,4.30826,14.7767,2604.62
52,0.052,994.648,1.61e+07,6.64235,26.3567,4487.07,246.692,1.49998e+07,4.35265,14.626,2612.21
53,0.053,994.546,1.61e+07,6.64167,26.3594,4487.04,249.195,1.49998e+07,4.39681,14.4791,2619.68
54,0.054,994.445,1.61e+07,6.64099,26.3621,4487.02,251.685,1.49998e+07,4.44074,14.3359,2627.04
55,0.055,994.343,1.61e+07,6.64031,26.3648,4487,254.162,1.49998e+07,4.48444,14.1962,2634.28
56,0.056,994.242,1.61e+07,6.63964,26.3675,4486.97,256.625,1.49998e+07,4.5279,14.0599,2641.4
57,0.057,994.14,1.61e+07,6.63896,26.3702,4486.95,259.075,1.49998e+07,4.57113,13.927,2648.42
58,0.058,994.039,1.61e+07,6.63828,26.3728,4486.92,261.512,1.49998e+07,4.61413,13.7972,2655.32
59,0.059,993.938,1.61e+07,6.63761,26.3755,4486.9,263.935,1.49998e+07,4.6569,13.6705,2662.12
60,0.06,993.836,1.61e+07,6.63693,26.3782,4486.88,266.346,1.49998e+07,4.69943,13.5468,2668.82
61,0.061,993.735,1.61e+07,6.63626,26.3809,4486.85,268.743,1.49998e+07,4.74173,13.4259,2675.41
62,0.062,993.634,1.61e+07,6.63558,26.3836,4486.83,271.128,1.49998e+07,4.7838,13.3078,2681.91
