i,x1[i],T1[i],P1[i],v1[i],rho1[i],alfa1[i],T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i]
0,0,1000,16100000,6.67808255075616,26.2156743452148,4488.30546444348,100,15000000,1.76438365648696,36.0817087614122,1962.59071370898,714.513994474339,399.518818817026
1,0.0005,999.925638515804,16099999.8067181,6.67758603879109,26.2176236118973,4488.28855842316,101.246799654842,14999998.5478144,1.78638215877003,35.6373785554324,1970.80975581585,714.665190528314,400.728402540235
2,0.001,999.851296554725,16099999.6134381,6.67708965719032,26.2195726565627,4488.2716542518,102.494985625306,14999997.0933743,1.80840512551534,35.2033824382224,1978.95314751819,714.671471169235,400.733330526918
3,0.0015,999.777013121522,16099999.4201143,6.67659366644979,26.2215204559808,4488.25475211974,103.742256918433,14999995.6392632,1.83041195806919,34.7801362180303,1987.02203289277,714.827423411153,401.943581484383
4,0.002,999.702750788933,16099999.2267905,6.67609781660901,26.2234679913675,4488.2378521729,104.990815593306,14999994.1830063,1.85244150951669,34.3665248860505,1995.01752732991,714.839815132407,401.95332933661
5,0.0025,999.62854816907,16099999.0334215,6.6756023655416,26.2254142494722,4488.22095459721,106.238362814455,14999992.7271847,1.87445321925437,33.962958681936,2002.9407223284,715.000367189528,403.164113970128
6,0.003,999.554368184119,16099998.8400506,6.67510706562088,26.2273602026189,4488.20405953455,107.487103940697,14999991.2693201,1.89648599860162,33.5683876831674,2010.79268361557,715.018706137786,403.178577259496
7,0.0035,999.480249056928,16099998.6466332,6.67461217212073,26.2293048474545,4488.1871671666,108.734742535318,14999989.811991,1.91849932926223,33.1832157904584,2018.57445321695,715.183707241529,404.38976650728
8,0.004,999.406154057174,16099998.4532121,6.67411743973523,26.2312491474573,4488.17027763131,109.983486685048,14999988.352716,1.9405321707008,32.8064528885226,2026.28705008818,715.207835006012,404.408844321915
9,0.0045,999.332121021804,16099998.2597432,6.67362312116101,26.2331921090905,4488.15339110626,111.231042584663,14999986.8940706,1.96254405103476,32.4384959426475,2033.93146967954,715.377139730497,405.620313428786
10,0.005,999.258113565991,16099998.0662689,6.67312897339954,26.2351346870339,4488.13650772563,112.479620506884,14999985.4335712,1.98457396831237,32.0784099021991,2041.50868687532,715.406903093614,405.643908207016
11,0.0055,999.184169144113,16099997.8727455,6.67263524659244,26.2370758974858,4488.119627663,113.726929502502,14999983.9737902,2.00658150102634,31.7265843446657,2049.01965325534,715.580371109241,406.855536544862
12,0.006,999.110251714812,16099997.679215,6.67214170003508,26.2390166863759,4488.10275104889,114.975181516447,14999982.5122421,2.0286056767434,31.3821350135217,2056.46530215456,715.615621811553,406.883553918163
13,0.0065,999.036398353206,16099997.4856341,6.67164858133615,26.2409560795576,4488.08587805303,116.222088672157,14999981.0514957,2.05060612815392,31.0454437654834,2063.84654380688,715.793117652644,408.095224816016
14,0.007,998.962573359341,16099997.2920446,6.67115565207111,26.2428950142593,4488.06900880241,117.469864099472,14999979.5890645,2.07262190374533,30.7156732840263,2071.16427235333,715.833712171228,408.127573460655
15,0.0075,998.888813432359,16099997.0984034,6.67066315733769,26.2448325259099,4488.05214346302,118.716223203516,14999978.1275136,2.09461269409392,30.3931974709514,2078.41935903856,716.015105016805,409.339174043797
16,0.008,998.815083211619,16099996.904752,6.67017086097746,26.2467695430863,4488.03528215842,119.963379836689,14999976.6643556,2.11661756045023,30.0772224639469,2085.61266100981,716.060904356135,409.375765540636
17,0.0085,998.741419023546,16099996.7110478,6.66967900559893,26.2487051107137,4488.01842505096,121.209052887515,14999975.202152,2.1385962548356,29.768114057439,2092.7450127228,716.246067822992,410.587186578181
18,0.009,998.667785844691,16099996.5173318,6.66918735729563,26.2506401487686,4488.00157226091,122.455456492107,14999973.738415,2.16058784352067,29.4651186840991,2099.81723638648,716.296937317524,410.627935280145
19,0.0095,998.594219632002,16099996.3235618,6.66869615620851,26.2525737115936,4487.9847239471,123.700313217044,14999972.2757019,2.18255214340644,29.1685939458917,2106.83013172258,716.485749264785,411.839071040565
20,0.01,998.520685697069,16099996.1297786,6.66820517066866,26.254506710616,4487.96788022659,124.945837065457,14999970.8115252,2.2045282184315,28.8778237014597,2113.78448792265,716.541558392491,411.88389394729
21,0.0105,998.447219630584,16099995.9359403,6.66771463837098,26.2564382095178,4487.95104125478,126.189754469829,14999969.3484381,2.22647595369106,28.5931573306324,2120.68107189416,716.733900736921,413.094642061406
22,0.011,998.373787077001,16099995.7420873,6.66722432986961,26.2583691112293,4487.93420714565,127.434278904497,14999967.8839535,2.24843440380788,28.3139135075242,2127.52064160692,716.794522943058,413.143458700634
23,0.0115,998.300423263951,16099995.5481781,6.66673448043472,26.2602984886941,4487.91737805127,128.67714084913,14999966.42062,2.27036352527005,28.0404334055648,2134.30393294824,716.990281484428,414.353720031614
24,0.012,998.227094166558,16099995.3542528,6.66624486282886,26.2622272363984,4487.90055408261,129.920552873153,14999964.9559519,2.29230235674835,27.7720681346169,2141.03167434539,717.055594014888,414.406452346928
